,R,G,I,U,Z,F378,F395,F410,F430,F515,F660,F861
NGC 1379,10.874323949321223,11.60914563434095,10.500707103250466,13.541160759878801,10.215953402396444,13.025245836282458,12.989693728813842,12.2835130492896,12.122910594939201,11.465418854677884,10.79855471782818,10.387352860294449
bkg * 0.8,10.867222230496562,11.593755783036482,10.491770605057654,13.527307684342006,10.203679759152156,13.00518693448046,12.97393881489906,12.214388034844303,12.112812930290463,11.445705162612756,10.791945664272095,10.380685477028386
bkg * 0.9,10.870767728690513,11.60142344083818,10.496230040019986,13.534212066128465,10.209799722609633,13.01516998787567,12.981787767444807,12.248400368633524,12.117850023752363,11.455517777241546,10.795245162259388,10.384014222544009
bkg * 1.1,10.877892752643229,11.616923144868235,10.505203470907047,13.548154086275936,10.222143139845425,13.03541591470552,12.997657534274897,12.319799333122008,12.127994863734036,11.47541209404091,10.80187439248135,10.390702141811246
bkg * 1.2,10.881473325279924,11.624756770655534,10.509717767007997,13.55519274950575,10.228368367155944,13.0456821576165,13.005680333681081,12.357340393912637,12.133102814251332,11.485497117589976,10.805204248287652,10.394061787177968
zero point,10.874323949321223,23.59,23.383,20.891,22.832,20.167,20.169,21.16,21.277,21.522,21.096,21.633
bkg value,10.874323949321223,0.020031381398439407,0.026602279394865036,0.0009520704625174403,0.028636157512664795,0.00038474719622172415,0.00031220371602103114,0.005286660976707935,0.0012303332332521677,0.0043692197650671005,0.0018175635486841202,0.004391377791762352
mag_lerr,0.4560469474528439,0.3745263482641456,0.11739137669793996,0.21736403068382498,,0.6159621420223532,,0.26915771139995304,,0.21824544571844431,0.1353593643727851,0.08550631457526447
mag_uerr,0.8014631074694384,0.576411671898799,0.1316400451945053,0.1810224745908913,0.8896144890801272,1.565597250712237,1.3035340044672241,0.3586855258228528,2.3170610428977683,0.27344286710572024,0.15467082145648603,0.09282041697175322
